Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.093248 , 0.094187 , 5.342157 , 0.000000
1 , 0.02 , 0.093350 , 0.282172 , 5.348038 , 0.000000
1 , 0.02 , 0.093454 , 0.471257 , 5.353954 , 0.000000
1 , 0.02 , 0.093558 , 0.661916 , 5.359919 , 0.000000
1 , 0.02 , 0.093663 , 0.854637 , 5.365949 , 0.000000
1 , 0.02 , 0.093770 , 1.049932 , 5.372059 , 0.000000
1 , 0.02 , 0.093878 , 1.248335 , 5.378266 , 0.000000
1 , 0.02 , 0.093988 , 1.450416 , 5.384589 , 0.000000
1 , 0.02 , 0.037046 , -0.466582 , 1.768538 , 0.000000
1 , 0.02 , 0.043694 , -0.475208 , 2.085940 , 0.000000
1 , 0.02 , 0.053113 , -0.487428 , 2.535594 , 0.000000
1 , 0.02 , 0.067536 , -0.506139 , 3.224132 , 0.000000
1 , 0.02 , 0.092479 , -0.538500 , 4.414891 , 0.000000
1 , 0.02 , 0.111516 , -0.463093 , 5.323727 , 0.000000
1 , 0.02 , 0.111638 , -0.277520 , 5.329531 , 0.000000
1 , 0.02 , 0.111759 , -0.092224 , 5.335328 , 0.000000
1 , 0.02 , 0.111881 , 0.094176 , 5.341158 , 0.000000
1 , 0.02 , 0.112005 , 0.282138 , 5.347038 , 0.000000
1 , 0.02 , 0.112128 , 0.471200 , 5.352952 , 0.000000
1 , 0.02 , 0.112253 , 0.661837 , 5.358915 , 0.000000
1 , 0.02 , 0.112380 , 0.854535 , 5.364944 , 0.000000
1 , 0.02 , 0.112508 , 1.049806 , 5.371052 , 0.000000
1 , 0.02 , 0.112638 , 1.248185 , 5.377257 , 0.000000
1 , 0.02 , 0.112770 , 1.450242 , 5.383578 , 0.000000
1 , 0.02 , 0.043221 , -0.466609 , 1.768497 , 0.000000
1 , 0.02 , 0.050979 , -0.475240 , 2.085914 , 0.000000
1 , 0.02 , 0.061969 , -0.487468 , 2.535599 , 0.000000
1 , 0.02 , 0.078798 , -0.506192 , 3.224211 , 0.000000
1 , 0.02 , 0.107904 , -0.538577 , 4.415169 , 0.000000
1 , 0.02 , 0.130085 , -0.463043 , 5.322733 , 0.000000
1 , 0.02 , 0.130227 , -0.277490 , 5.328537 , 0.000000
1 , 0.02 , 0.130368 , -0.092214 , 5.334332 , 0.000000
1 , 0.02 , 0.130511 , 0.094166 , 5.340160 , 0.000000
1 , 0.02 , 0.130654 , 0.282108 , 5.346038 , 0.000000
1 , 0.02 , 0.130799 , 0.471150 , 5.351951 , 0.000000
1 , 0.02 , 0.130945 , 0.661765 , 5.357913 , 0.000000
1 , 0.02 , 0.131092 , 0.854443 , 5.363938 , 0.000000
1 , 0.02 , 0.131241 , 1.049693 , 5.370045 , 0.000000
